승차시간구분,승하차총승객수,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
0,2650,11.357967032967034,1.4869565217391305,2.3318681318681316,65.32417582417582,5.877083333333334
1,7,10.988736263736264,2.092,2.210714285714286,66.42060439560439,6.4944444444444445
2,21,10.7010989010989,2.4884615384615385,2.1516483516483516,67.56126373626374,6.569444444444445
3,21,10.400824175824177,1.8490909090909091,2.1406593406593406,68.87362637362638,5.952000000000001
4,43,10.150824175824177,1.7281250000000001,2.1255494505494505,69.61538461538461,6.0
5,4464,9.909340659340659,1.3282051282051284,2.154120879120879,70.8489010989011,5.929411764705882
6,7184,9.737362637362638,1.6483870967741936,2.1733516483516486,71.60989010989012,5.964705882352941
7,28935,9.788186813186813,1.595,2.2607142857142857,71.03296703296704,6.033333333333333
8,44312,10.300824175824175,1.5842105263157895,2.378021978021978,68.20604395604396,6.0509803921568635
9,14761,11.300274725274726,1.9785714285714284,2.531318681318681,63.637362637362635,6.037254901960784
10,13030,12.525549450549452,1.5447368421052632,2.7744505494505494,58.620879120879124,6.019607843137255
11,9696,13.6489010989011,1.118421052631579,2.9200549450549453,54.49175824175824,6.044
12,12592,14.663461538461538,1.123076923076923,3.083241758241758,50.84340659340659,6.044897959183674
13,18129,15.411813186813186,2.1484848484848484,3.294230769230769,48.285714285714285,6.185106382978723
14,25551,15.886813186813187,2.363888888888889,3.4549450549450547,47.06043956043956,6.053191489361702
15,18713,16.089285714285715,0.7946428571428571,3.650824175824176,46.69230769230769,6.142222222222221
16,22980,15.99532967032967,0.7258064516129032,3.6881868131868134,47.129120879120876,6.031111111111111
17,39310,15.47087912087912,0.80625,3.677197802197802,49.19230769230769,5.854347826086957
18,31639,14.624725274725273,0.8804347826086957,3.523901098901099,52.494505494505496,5.858695652173913
19,35432,13.733516483516484,0.992,3.28956043956044,55.78021978021978,6.120588235294117
20,19575,13.005219780219779,2.6519999999999997,2.945604395604396,58.83516483516483,5.932258064516129
21,26512,12.487362637362637,1.036734693877551,2.7225274725274726,61.07142857142857,5.823404255319149
22,22097,12.074725274725274,1.6,2.565384615384615,62.71153846153846,6.0
23,14193,11.704945054945055,1.672,2.4326923076923075,64.1510989010989,6.087878787878788
