승차시간구분,승하차총승객수,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
0,636,24.028260869565216,2.01875,2.4206521739130435,75.05434782608695,
2,4,23.50326086956522,3.573333333333333,2.2271739130434782,77.43478260869566,
4,1,23.03478260869565,2.2526315789473683,2.2717391304347827,79.16304347826087,
5,1149,22.839130434782607,1.723809523809524,2.25,80.16304347826087,
6,952,22.669565217391302,2.336,2.260869565217391,80.80434782608695,
7,9580,22.729347826086954,2.1565217391304348,2.252173913043478,80.18478260869566,
8,12360,23.292391304347827,2.1043478260869564,2.4413043478260867,77.08695652173913,
9,2440,24.097826086956523,4.922222222222222,2.6021739130434782,73.6413043478261,
10,1966,25.043478260869566,2.3136363636363635,2.7956521739130435,69.83695652173913,
11,3050,25.804347826086957,1.5,3.0945652173913043,66.69565217391305,
12,3176,26.551086956521736,1.0428571428571427,3.0913043478260867,63.58695652173913,
13,2018,27.094565217391303,3.473684210526316,3.292391304347826,61.43478260869565,
14,6898,27.446739130434782,3.7904761904761903,3.3130434782608695,60.29347826086956,
15,4572,27.755434782608695,0.3222222222222222,3.4130434782608696,59.119565217391305,
16,4505,27.785869565217393,0.47777777777777775,3.6260869565217395,58.79347826086956,
17,17205,27.528260869565216,0.7222222222222222,3.648913043478261,59.84782608695652,
18,4829,26.979347826086954,0.7833333333333333,3.492391304347826,62.33695652173913,
19,14245,26.160869565217393,0.8166666666666667,3.3304347826086955,65.6413043478261,
20,8168,25.425,3.2823529411764705,3.0413043478260873,69.42391304347827,
21,2555,24.938043478260873,1.325,2.902173913043478,71.55434782608695,
22,5376,24.542391304347827,2.0571428571428574,2.7021739130434783,72.96739130434783,
23,5158,24.233695652173914,2.2,2.627173913043478,74.02173913043478,
