승차시간구분,승하차총승객수,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
0,293,6.1521739130434785,1.35,2.141304347826087,64.8913043478261,2.515384615384615
1,7,5.832967032967033,0.0,2.020879120879121,66.06593406593407,2.3666666666666667
4,14,4.904395604395605,0.35,2.0263736263736263,67.87912087912088,2.5846153846153848
5,946,4.665934065934065,2.066666666666667,2.0483516483516486,69.0,2.435714285714286
6,1497,4.47032967032967,0.1,2.108791208791209,69.26373626373626,2.435714285714286
7,3662,4.262637362637363,0.0,2.184615384615385,69.47252747252747,2.6214285714285714
8,12045,4.536263736263736,0.0,2.17032967032967,66.94505494505495,2.6357142857142857
9,3516,5.64945054945055,0.4666666666666667,2.453846153846154,61.54945054945055,2.6285714285714286
10,2196,7.164835164835165,0.35,2.6714285714285713,56.494505494505496,2.6
11,630,8.571428571428571,0.5,2.757142857142857,52.21978021978022,2.6846153846153844
12,3587,9.729670329670329,1.1083333333333334,2.9681318681318682,48.45054945054945,2.5923076923076924
13,4304,10.593406593406593,0.0,3.125274725274725,46.142857142857146,2.6076923076923078
14,874,11.023076923076923,0.75,3.256043956043956,45.51648351648352,2.5923076923076924
15,2297,11.165934065934065,0.9,3.3670329670329666,45.26373626373626,2.909090909090909
16,5053,10.897802197802198,0.0,3.4395604395604398,45.84615384615385,2.890909090909091
17,6871,10.051648351648351,0.3333333333333333,3.1714285714285717,48.86813186813187,2.8454545454545457
18,8558,8.947252747252747,1.0699999999999998,2.826373626373626,53.48351648351648,2.809090909090909
19,2621,8.215384615384616,0.0,2.7516483516483516,56.27472527472528,2.1
20,3097,7.612087912087913,0.0,2.5736263736263734,58.472527472527474,3.1
21,5744,7.148351648351649,0.9249999999999999,2.356043956043956,60.527472527472526,2.566666666666667
22,6147,6.754945054945056,,2.1923076923076925,62.23076923076923,2.1333333333333333
23,1443,6.382417582417582,,2.0318681318681318,63.417582417582416,2.2333333333333334
