승차시간구분,승하차총승객수,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
0,1229,-0.9134831460674157,1.425,2.453932584269663,58.640449438202246,7.1257142857142854
3,21,-1.8288888888888888,1.8800000000000001,2.2333333333333334,60.733333333333334,7.135135135135135
4,9,-2.04,,2.2966666666666664,61.71111111111111,7.199999999999999
5,1797,-2.2622222222222224,,2.292222222222222,62.84444444444444,7.251351351351351
6,1859,-2.4355555555555553,1.6214285714285717,2.272222222222222,64.18888888888888,7.300000000000001
7,10663,-2.5722222222222224,,2.39,64.72222222222223,7.324324324324325
8,5664,-2.385555555555556,,2.5166666666666666,63.32222222222222,7.343243243243243
9,2370,-1.4933333333333334,0.7875,2.5733333333333333,59.17777777777778,7.327027027027028
10,5694,-0.33333333333333337,,2.8777777777777778,53.477777777777774,7.313513513513514
11,2887,0.8711111111111111,,2.9522222222222223,48.58888888888889,7.224324324324325
12,2820,2.0077777777777777,2.6714285714285713,3.1133333333333333,44.55555555555556,7.291666666666667
13,4033,2.897777777777778,,3.388888888888889,41.166666666666664,7.552941176470589
14,8720,3.447777777777778,,3.7466666666666666,39.53333333333333,7.376470588235295
15,3674,3.7266666666666666,2.111111111111111,3.8744444444444444,38.82222222222222,7.188235294117647
16,9768,3.6366666666666667,,3.707777777777778,39.977777777777774,7.047058823529412
17,5732,3.0811111111111114,,3.781111111111111,42.666666666666664,6.8
18,11084,2.1688888888888886,0.8142857142857143,3.621111111111111,45.91111111111111,6.817142857142857
19,7027,1.3155555555555554,,3.3033333333333337,49.18888888888889,6.509677419354839
20,2034,0.7522222222222222,,2.971111111111111,52.13333333333333,6.127586206896551
21,7791,0.2933333333333333,0.89,2.712222222222222,54.15555555555556,6.94
22,3674,-0.09333333333333335,,2.6577777777777776,55.644444444444446,6.386666666666667
23,2636,-0.47333333333333333,,2.5922222222222224,57.455555555555556,6.473333333333333
