승차시간구분,승하차총승객수,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
0,492,15.813186813186814,0.82,2.315384615384615,62.46153846153846,
2,17,15.063736263736264,1.009090909090909,2.245054945054945,65.8021978021978,
4,19,14.428571428571429,1.0727272727272728,1.9076923076923076,69.51648351648352,
5,572,14.118681318681318,0.6266666666666667,2.0263736263736263,71.1978021978022,
6,2876,13.96923076923077,1.5461538461538462,2.0516483516483515,72.0,
7,5030,14.454945054945055,0.8875,2.2175824175824177,69.58241758241758,
8,14243,15.478021978021978,0.8428571428571429,2.3846153846153846,65.31868131868131,
9,6435,16.665934065934064,0.4153846153846154,2.4956043956043956,60.02197802197802,
10,3174,17.948351648351647,0.5071428571428571,2.753846153846154,54.494505494505496,
11,3129,19.074725274725274,0.4583333333333333,2.874725274725275,50.26373626373626,
12,3009,20.095604395604397,0.375,3.1604395604395608,46.57142857142857,
13,7774,20.795604395604396,0.4083333333333334,3.3714285714285714,44.175824175824175,
14,9059,21.365934065934066,0.3076923076923077,3.5087912087912088,42.67032967032967,
15,8170,21.445054945054945,0.4733333333333334,3.953846153846154,43.34065934065934,
16,3654,21.395604395604394,1.2636363636363637,3.9802197802197803,43.69230769230769,
17,9502,20.953846153846154,1.0727272727272728,4.108791208791208,45.1978021978022,
18,7168,20.130769230769232,0.9090909090909091,4.1571428571428575,48.065934065934066,
19,11539,18.96923076923077,1.6833333333333333,3.7725274725274724,51.83516483516483,
20,6276,17.96043956043956,1.5,3.195604395604396,55.120879120879124,
21,10422,17.298901098901098,0.8727272727272727,2.9175824175824174,57.857142857142854,
22,6900,16.824175824175825,1.018181818181818,2.708791208791209,59.81318681318681,
23,4956,16.405494505494506,1.0,2.479120879120879,61.527472527472526,
